dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2019-05-19,0,0,"kcal","0","30",0,12
2019-05-20,84.323,700,"kcal","1","30",3,12
2019-05-21,257.264,700,"kcal","5","30",8,12
2019-05-22,586.569,700,"kcal","48","30",12,12
2019-05-23,774.058,700,"kcal","56","30",12,12
2019-05-24,832.891,700,"kcal","59","30",14,12
2019-05-25,689.366,700,"kcal","49","30",13,12
2019-05-26,553.039,700,"kcal","52","30",10,12
2019-05-27,1135.73,700,"kcal","104","30",15,12
2019-05-28,730.457,700,"kcal","61","30",16,12
2019-05-29,747.789,700,"kcal","20","30",13,12
2019-05-30,354.076,700,"kcal","13","30",11,12
2019-05-31,886.861,700,"kcal","67","30",14,12
2019-06-01,700.165,700,"kcal","53","30",13,12
2019-06-02,318.842,700,"kcal","13","30",10,12
2019-06-03,678.135,700,"kcal","44","30",13,12
2019-06-04,413.004,700,"kcal","29","30",10,12
2019-06-05,667.487,700,"kcal","45","30",14,12
2019-06-06,747.482,700,"kcal","54","30",13,12
2019-06-07,851.259,700,"kcal","66","30",13,12
2019-06-08,1049.81,700,"kcal","79","30",14,12
2019-06-09,307.766,700,"kcal","9","30",13,12
2019-06-10,661.385,700,"kcal","52","30",14,12
2019-06-11,688.003,700,"kcal","55","30",13,12
2019-06-12,804.265,700,"kcal","64","30",16,12
2019-06-13,592.111,700,"kcal","48","30",10,12
2019-06-14,908.805,700,"kcal","74","30",14,12
2019-06-15,955.04,700,"kcal","86","30",13,12
2019-06-16,334.477,700,"kcal","10","30",10,12
2019-06-17,632.846,700,"kcal","58","30",13,12
2019-06-18,953.263,700,"kcal","94","30",15,12
2019-06-19,344.209,700,"kcal","8","30",11,12
2019-06-20,984.038,700,"kcal","69","30",13,12
2019-06-21,419.426,700,"kcal","7","30",13,12
2019-06-22,1349.13,700,"kcal","124","30",14,12
2019-06-23,608.243,700,"kcal","56","30",13,12
2019-06-24,678.498,700,"kcal","54","30",12,12
2019-06-25,559.778,700,"kcal","42","30",13,12
2019-06-26,691.901,700,"kcal","47","30",13,12
2019-06-27,854.377,700,"kcal","77","30",14,12
2019-06-28,982.895,700,"kcal","85","30",16,12
2019-06-29,697.272,700,"kcal","58","30",12,12
2019-06-30,670.192,700,"kcal","79","30",11,12
2019-07-01,607.13,700,"kcal","56","30",15,12
2019-07-02,351.917,700,"kcal","24","30",8,12
2019-07-03,590.367,700,"kcal","32","30",13,12
2019-07-04,395.525,700,"kcal","14","30",9,12
2019-07-05,382.914,700,"kcal","18","30",11,12
2019-07-06,326.077,700,"kcal","12","30",10,12
2019-07-07,451.523,700,"kcal","11","30",15,12
2019-07-08,766.494,700,"kcal","53","30",13,12
2019-07-09,775.455,700,"kcal","82","30",12,12
2019-07-10,335.343,700,"kcal","6","30",15,12
2019-07-11,841.937,700,"kcal","78","30",13,12
2019-07-12,884.586,700,"kcal","64","30",13,12
2019-07-13,541.852,700,"kcal","23","30",15,12
2019-07-14,517.982,700,"kcal","15","30",13,12
2019-07-15,465.389,700,"kcal","25","30",14,12
2019-07-16,777.033,700,"kcal","57","30",12,12
2019-07-17,371.789,700,"kcal","15","30",14,12
2019-07-18,622.846,700,"kcal","51","30",12,12
2019-07-19,419.109,700,"kcal","29","30",11,12
2019-07-20,935.209,700,"kcal","65","30",12,12
2019-07-21,233.11,700,"kcal","0","30",10,12
2019-07-22,848.251,700,"kcal","55","30",15,12
2019-07-23,734.517,700,"kcal","73","30",10,12
2019-07-24,571.199,700,"kcal","58","30",11,12
2019-07-25,693.878,700,"kcal","45","30",14,12
2019-07-26,1126.68,700,"kcal","88","30",14,12
2019-07-27,822.755,700,"kcal","58","30",15,12
2019-07-28,373.875,700,"kcal","8","30",13,12
2019-07-29,982.045,700,"kcal","85","30",14,12
2019-07-30,825.623,700,"kcal","57","30",13,12
2019-07-31,812.383,700,"kcal","77","30",15,12
2019-08-01,429.913,700,"kcal","16","30",13,12
2019-08-02,307.832,700,"kcal","9","30",9,12
